hyper-parameter, good_exp, bad_exp
mo-0.9, 378, 270
mo-0.5, 494, 154
mo-0.0, 505, 143
width-4, 450, 198
width-6, 460, 188
width-8, 467, 181
wd-0.0, 543, 105
wd-0.01, 266, 382
wd-0.0001, 568, 80
lr-0.01, 502, 146
lr-0.005, 522, 126
lr-0.05, 353, 295
bs-16, 429, 219
bs-32, 464, 184
bs-64, 484, 164
lr_decay-True, 857, 115
lr_decay-False, 520, 452
skip-True, 719, 253
skip-False, 658, 314
batchnorm-True, 768, 204
batchnorm-False, 609, 363
