Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,Fisher norm,gradient norm of local entropy,Classical Entropy,Trace,Low pass filter
0,0.0,4,0.0,0.01,32,True,True,0.009386777877807617, 27.28399658203125,60.61072902152524,61608715.920562774,492.4371311396004,202.85818481445312,0.010105225257575512,0.027164148166775703,1947.4153364509468,1.8374267899990082,
1,0.0,6,0.0,0.01,32,True,True,0.003309359075501561, 25.652000427246094,51.833972062918015,89554737.08181605,264.79695936226307,142.63235473632812,0.014399227686226368,0.0126565620303154,969.6708991488865,2.891921203136444,
2,0.0,8,0.0,0.01,32,True,True,0.007679668255150318, 24.68000030517578,77.08720537615964,140041219.73192585,544.2042929819646,160.583984375,0.019184812903404236,0.02216150425374508,1930.0318058879416,3.4574412059783937,
3,0.0,4,0.0001,0.01,32,True,True,0.0077331638894975185, 26.192001342773438,66.85990544423045,50097146.1889313,533.8842629727908,166.4569549560547,0.010024369694292545,0.022704875096678734,1668.0850125808106,1.6247475385665893,
4,0.0,6,0.0001,0.01,32,True,True,0.009539606980979443, 26.580001831054688,69.3914414696818,114885037.8937893,658.7055487848877,325.41131591796875,0.014703010208904743,0.02687571384012699,2081.213793813868,3.0700950980186463,
5,0.0,8,0.0001,0.01,32,True,True,0.00660537276417017, 24.701995849609375,59.4134431959123,135574301.30850896,605.2656441596532,230.21249389648438,0.019133780151605606,0.021590761840343475,1619.719258524165,3.2593783962726595,
6,0.0,4,0.0005,0.01,32,True,True,0.0047740996815264225, 26.566001892089844,51.626018140576,50028145.83958289,276.78179864741827,101.05921936035156,0.009778274223208427,0.01737978868186474,905.8966009944583,1.4566943669319152,
7,0.0,6,0.0005,0.01,32,True,True,0.007661022245883942, 25.94000244140625,58.774443430401625,88492906.07168826,391.69756748670267,217.27685546875,0.014579450711607933,0.02374476008117199,1522.3507961939476,2.2452994388341905,
8,0.0,8,0.0005,0.01,32,True,True,0.003731343662366271, 24.93000030517578,53.163985636691244,122424424.48996846,296.728266369249,103.03187561035156,0.01904132217168808,0.0147200096398592,974.5181335995437,3.0078382194042206,
9,0.0,4,0.0,0.01,32,False,True,0.008975743316113949, 23.55999755859375,60.50357044731931,46177879.62414893,525.475826037697,345.298828125,0.010033835656940937,0.023574477061629295,1744.7670787032541,1.545002627968788,
10,0.0,6,0.0,0.01,32,False,True,0.006723229307681322, 22.631996154785156,49.80325348656985,79743730.62944886,474.3768115907438,317.93316650390625,0.014458444900810719,0.018639836460351944,1556.764543799895,2.5745045495033265,
11,0.0,8,0.0,0.01,32,False,True,0.00547401187941432, 21.96399688720703,60.26598562343729,106218249.44864692,323.03130895085076,201.780517578125,0.018969884142279625,0.01590164192020893,1233.3489443931635,4.703421041965485,
12,0.0,4,0.0001,0.01,32,False,True,0.008919775485992432, 23.540000915527344,50.81134042453646,44073271.58597273,450.14534111217904,405.4692687988281,0.009992584586143494,0.024956244975328445,1675.8606684001797,1.6833587449789047,
13,0.0,6,0.0001,0.01,32,False,True,0.00782978069037199, 23.055999755859375,53.60997364053651,79262104.82626973,497.007372304476,393.6331787109375,0.01447650883346796,0.023585263639688492,1660.7498847771633,2.4552075564861298,
14,0.0,8,0.0001,0.01,32,False,True,0.008470621891319752, 21.580001831054688,53.18880577599737,112519453.01760834,442.54952053414314,327.9949951171875,0.019068270921707153,0.022799594327807426,1699.5027155032758,4.33303692817688,
