exp_num,width,batchnorm,skip,opt,epoch,lr,wd,bs,mo,lrdecay,trainloss,trainerr,valloss,valerr,flatness,div
276,4, True, True, sgd,250,0.05,0.01,16,0, False,1.228478022,39.95999999,1.260671891,41.24,0.049709901,2.830436454
529,6, True, True, sgd,250,0.01,0.01,32,0.9, False,1.171779103,39.08800004,1.210262753,40.13,0.046709394,3.341144545
627,4, True, False, sgd,250,0.05,0.01,32,0.5, False,1.126298248,38.98200004,1.165419852,40.51,0.077874018,2.107009654
935,8, True, False, sgd,250,0.05,0.01,6.40E+01,0, False,1.244211699,37.52400003,1.381471682,41.41,0.035348377,2.352564551
934,6, True, False, sgd,250,0.05,0.01,6.40E+01,0, False,1.206213064,35.94800001,1.340298336,39.11,0.034716448,3.143088032
528,4, True, True, sgd,250,0.01,0.01,3.20E+01,0.9, False,0.962554367,32.74999997,1.002076223,34.36,0.053198781,2.440777247
943,6, True, True, sgd,250,0.05,0.01,64,0.5, False,0.959682852,32.74599997,1.046078194,35.55,0.023780313,2.124845841
863,8, True, False, sgd,250,0.01,0.01,64,0.9, False,0.99084686,32.63600002,1.07326022,35.74,0.046382579,3.561904299
1892,8, False, True, sgd,250,0.05,0,64,0, False,4.234593518,32.56400003,8.005799849,44.97,0.085597508,2.247236707
944,8, True, True, sgd,250,0.05,0.01,6.40E+01,0.5, False,0.934237409,32.25600003,1.046483673,35.17,0.05039429,2.639083995
862,6, True, False, sgd,250,0.01,0.01,6.40E+01,0.9, False,0.941104752,31.16400005,1.000910339,32.61,0.047296535,2.215285879
96,4, True, True, sgd,250,0.005,0.01,16,0.9, False,0.898291802,30.28799998,0.949959196,31.97,0.05029138,2.310251238
853,6, True, True, sgd,250,0.01,0.01,6.40E+01,0.9, False,0.848645413,29.658,0.950950025,33.04,0.03721947,2.633985563
825,4, True, False, sgd,250,0.01,0.01,64,0, False,1.033858315,29.37199999,1.396105621,38,0.049250619,4.217778188
278,8, True, True, sgd,250,0.05,0.01,16,0, False,0.864585333,29.26800006,0.925059202,31.54,0.052058662,2.108168408
709,6, True, True, sgd,250,0.005,0.01,64,0, False,1.257035083,28.71200001,1.805028392,40.91,0.132208264,128.405552
601,6, True, True, sgd,250,0.05,0.01,3.20E+01,0, False,0.834105717,28.01799999,0.92501542,31.09,0.044471696,2.725232902
619,6, True, True, sgd,250,0.05,0.01,32,0.5, False,0.830544032,27.83199999,0.887374121,29.89,0.051690813,2.260685242
431,8, True, False, sgd,250,0.005,0.01,3.20E+01,0.9, False,0.827007396,27.25400005,0.917912209,30.46,0.051897133,2.243785942
277,6, True, True, sgd,250,0.05,0.01,1.60E+01,0, False,0.782223297,26.23400007,0.845099147,28.36,0.058262419,2.15083699
942,4, True, True, sgd,250,0.05,0.01,64,0.5, False,0.789525901,26.07799997,0.868644264,28.98,0.042286482,2.576071736
584,8, True, True, sgd,250,0.05,0.01,32,0.9, True,0.79352548,25.93799999,1.122919647,38.95,0.033608886,33.21310019
925,6, True, True, sgd,250,0.05,0.01,6.40E+01,0, False,0.748659121,24.61400008,0.920598811,30.01,0.036668442,2.463533671
924,4, True, True, sgd,250,0.05,0.01,64,0, False,0.730031436,24.04400009,0.890054696,28.85,0.039677438,2.277915629
430,6, True, False, sgd,250,0.005,0.01,3.20E+01,0.9, False,0.729667666,23.78600006,0.820698371,26.68,0.033826145,3.33160028
852,4, True, True, sgd,250,0.01,0.01,6.40E+01,0.9, False,0.695935387,23.58600001,0.789562561,26.71,0.052124127,2.194991037
1689,4, False, False, sgd,250,0.005,0.01,64,0, False,0.880514845,23.34800001,3.503283639,54.42,0.032450399,2.813136938
420,4, True, True, sgd,250,0.005,0.01,32,0.9, False,0.718638835,23.294,0.824846643,26.39,0.037026202,3.807820046
508,6, True, True, sgd,250,0.01,0.0001,3.20E+01,0.5, False,0.707567605,22.56600001,1.176899587,34.29,0.025315194,2.794342834
843,4, True, False, sgd,250,0.01,0.01,6.40E+01,0.5, False,0.754092474,22.23800001,1.09346547,31.15,0.055792967,10.22521542
854,8, True, True, sgd,250,0.01,0.01,64,0.9, False,0.669401791,22.23400001,0.770062592,26.28,0.025751743,2.403874248
1158,4, False, True, sgd,250,0.01,0.01,1.60E+01,0.5, False,0.651069564,22.05199999,0.844731972,28.03,0.085135651,2.135869708
421,6, True, True, sgd,250,0.005,0.01,32,0.9, False,0.638078531,21.91599999,0.733992603,24.76,0.045546886,2.32320399
1735,6, False, True, sgd,250,0.01,0.01,64,0, True,0.626487346,21.87000001,1.468512041,41.44,0.031802105,2.344020676
195,4, True, False, sgd,250,0.01,0.01,16,0.5, False,0.641752095,20.77799999,0.740098486,24.69,0.038012037,2.478216711
602,8, True, True, sgd,250,0.05,0.01,32,0, False,0.586958513,19.79999997,0.688819699,23.28,0.037210039,2.274133099
582,4, True, True, sgd,250,0.05,0.01,32,0.9, True,0.62858128,19.78399997,0.884145026,30.38,0.013638024,2.679971501
1690,6, False, False, sgd,250,0.005,0.01,6.40E+01,0, False,0.886930402,19.73000003,4.16195536,54.24,0.039349181,4.618827773
753,4, True, False, sgd,250,0.005,0.01,6.40E+01,0.9, False,0.606163239,19.36000005,0.739457249,24.13,0.020133161,2.332206151
1808,8, False, True, sgd,250,0.01,0.01,64,0.5, False,0.638002462,18.54000002,1.706125068,41.43,0.044873066,2.148106494
1797,4, False, False, sgd,250,0.01,0.01,64,0, False,0.643623949,18.09800002,2.604593476,47.26,0.041632362,2.507522144
754,6, True, False, sgd,250,0.005,0.01,64,0.9, False,0.55656317,17.79600003,0.717821895,23.05,0.032361211,3.793452586
1716,4, False, True, sgd,250,0.005,0.01,64,0.9, False,0.509934118,17.15599996,0.880672824,27.48,0.059580717,2.155560856
521,8, True, False, sgd,250,0.01,0.01,32,0.5, False,0.517953121,16.05199996,0.762413319,24.11,0.030471339,3.026307226
826,6, True, False, sgd,250,0.01,0.01,6.40E+01,0, False,0.54333712,15.99200006,0.97157467,26.76,0.043587001,6.024755236
186,4, True, True, sgd,250,0.01,0.01,1.60E+01,0.5, False,0.497071456,15.96400009,0.627333797,20.41,0.038852593,2.318977948
179,8, True, False, sgd,250,0.01,0.01,16,0, False,0.483363299,15.22600006,0.720067364,22.79,0.026384725,2.402422819
177,4, True, False, sgd,250,0.01,0.01,1.60E+01,0, False,0.477712985,14.92999997,0.66688744,21.19,0.026930293,2.531564377
1681,6, False, True, sgd,250,0.005,0.01,6.40E+01,0, False,0.419678957,14.56799997,2.766492839,56.24,0.037019582,2.487813736
844,6, True, False, sgd,250,0.01,0.01,64,0.5, False,0.486275021,14.42199997,0.860813653,24.26,0.022809886,2.841027668
745,6, True, True, sgd,250,0.005,0.01,64,0.9, False,0.440700857,14.31200004,0.653925427,21.31,0.026064166,2.35411334
1879,6, False, True, sgd,250,0.05,0.01,64,0.9, True,0.421064158,14.224,0.872663055,27.67,0.019207504,2.231961635
755,8, True, False, sgd,250,0.005,0.01,64,0.9, False,0.455825938,14.18200007,0.654170041,20.87,0.029484259,2.433750231
89,8, True, False, sgd,250,0.005,0.01,16,0.5, False,0.431232548,13.86600002,0.663036001,21.5,0.031564007,2.394317703
168,4, True, True, sgd,250,0.01,0.01,16,0, False,0.441839106,13.72799997,0.668201928,21.56,0.018037411,2.372500521
188,8, True, True, sgd,250,0.01,0.01,16,0.5, False,0.439752639,13.72,0.574074498,18.73,0.039769968,2.231338409
502,6, True, False, sgd,250,0.01,0.01,32,0, False,0.449200586,13.402,0.795822868,22.86,0.025234599,3.730721164
744,4, True, True, sgd,250,0.005,0.01,6.40E+01,0.9, False,0.403998298,13.00999998,0.592048528,19.31,0.02426393,2.641801526
746,8, True, True, sgd,250,0.005,0.01,64,0.9, False,0.403244351,12.84200004,0.619525045,20.06,0.02340397,2.405716552
1815,4, False, False, sgd,250,0.01,0.01,6.40E+01,0.5, False,0.387107966,12.68000008,1.541880593,40.28,0.046428692,2.183174091
519,4, True, False, sgd,250,0.01,0.01,3.20E+01,0.5, False,0.40486351,12.46000002,0.616508152,19.17,0.036350295,2.298775317
1806,4, False, True, sgd,250,0.01,0.01,64,0.5, False,0.368681658,12.44400002,1.384604278,35.87,0.033244316,2.140990687
520,6, True, False, sgd,250,0.01,0.01,32,0.5, False,0.393866644,12.05600007,0.620473323,19.17,0.023425395,2.447299846
88,6, True, False, sgd,250,0.005,0.01,16,0.5, False,0.393625253,11.99800003,0.606036787,19.39,0.026632071,2.379587466
1474,6, False, False, sgd,250,0.01,0.01,3.20E+01,0, False,0.346547329,11.30400005,2.120933007,48.25,0.044221224,2.193560297
510,4, True, True, sgd,250,0.01,0.01,3.20E+01,0.5, False,0.361126346,11.20799999,0.585629485,18.86,0.030667964,2.782044738
845,8, True, False, sgd,250,0.01,0.01,6.40E+01,0.5, False,0.360329594,11.16,0.748330905,22.55,0.020244094,3.256273441
1698,4, False, True, sgd,250,0.005,0.01,6.40E+01,0.5, False,0.316423846,10.60000006,1.570621787,34.78,0.028102449,3.475956266
1465,6, False, True, sgd,250,0.01,0.01,3.20E+01,0, False,0.36083307,10.57000009,1.547704319,37.72,0.0365496,2.228069479
71,8, True, False, sgd,250,0.005,0.01,1.60E+01,0, False,0.349100297,10.248,0.729807794,21.75,0.021427121,3.540401241
1798,6, False, False, sgd,250,0.01,0.01,64,0, False,0.308493763,9.848000002,2.576601082,49.38,0.032351967,2.389734482
1032,4, False, True, sgd,250,0.005,0.01,1.60E+01,0, False,0.282606749,9.786000037,1.336013243,32.23,0.034540763,2.337666606
1691,8, False, False, sgd,250,0.005,0.01,64,0, False,0.29861928,9.554000039,2.80086824,48.35,0.02536158,2.909810918
1473,4, False, False, sgd,250,0.01,0.01,3.20E+01,0, False,0.284300238,9.53199999,1.63502501,41.54,0.048265143,2.132545967
501,4, True, False, sgd,250,0.01,0.01,32,0, False,0.304773141,9.212000015,0.681561418,20.46,0.016713609,2.69017352
386,8, True, True, sgd,250,0.005,0.01,3.20E+01,0, False,0.33022988,8.965999966,0.829371914,23.3,0.020202675,2.775201003
511,6, True, True, sgd,250,0.01,0.01,3.20E+01,0.5, False,0.288209917,8.950000034,0.539399383,17.7,0.030815852,2.242108698
1493,8, False, False, sgd,250,0.01,0.01,32,0.5, False,0.293545844,8.918000063,1.322881733,39.8,0.074499735,2.100370662
835,6, True, True, sgd,250,0.01,0.01,64,0.5, False,0.286215734,8.800000046,0.676742407,20.46,0.024882511,3.249041446
402,4, True, True, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.279648984,8.702000042,0.658747693,20.03,0.014341285,2.245698044
78,4, True, True, sgd,250,0.005,0.01,16,0.5, False,0.293261055,8.673999966,0.528724088,16.87,0.033649429,2.137198
1374,4, False, True, sgd,250,0.005,0.01,32,0.5, False,0.247782909,8.354000066,1.257590025,30.46,0.033321507,2.257683935
493,6, True, True, sgd,250,0.01,0.01,3.20E+01,0, False,0.268129224,8.044000063,0.658876484,19.74,0.015148778,2.437456165
834,4, True, True, sgd,250,0.01,0.01,64,0.5, False,0.255031051,7.765999966,0.622041364,18.61,0.023513365,2.968691771
1709,8, False, False, sgd,250,0.005,0.01,64,0.5, False,0.238720437,7.663999968,2.183527511,47.32,0.026563498,2.221892695
411,4, True, False, sgd,250,0.005,0.01,32,0.5, False,0.255334027,7.661999968,0.610325722,18.82,0.021270388,3.027354068
1708,6, False, False, sgd,250,0.005,0.01,64,0.5, False,0.242364086,7.542000017,2.660734738,45.88,0.027099725,2.78519262
1375,6, False, True, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.227616931,7.364000044,1.309421324,34.54,0.036226601,2.15462662
385,6, True, True, sgd,250,0.005,0.01,3.20E+01,0, False,0.239337619,7.271999973,0.748538138,21.16,0.019228575,4.178874352
727,6, True, True, sgd,250,0.005,0.01,6.40E+01,0.5, False,0.243458596,7.233999971,0.72886583,21.01,0.020782627,4.769797327
1384,6, False, False, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.220069791,7.209999971,1.890214347,42.55,0.03110148,2.295974537
413,8, True, False, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.236811315,6.980000046,0.617598423,18.4,0.019368786,2.725346703
512,8, True, True, sgd,250,0.01,0.01,32,0.5, False,0.233277242,6.794000029,0.50883678,16.47,0.032712579,2.232854512
1367,8, False, False, sgd,250,0.005,0.01,3.20E+01,0, False,0.217251339,6.636000049,2.399435804,48.77,0.021506959,2.164766614
170,8, True, True, sgd,250,0.01,0.01,16,0, False,0.231848017,6.556000051,0.525326458,16.7,0.027222655,2.283744232
836,8, True, True, sgd,250,0.01,0.01,6.40E+01,0.5, False,0.221939543,6.519999998,0.639231059,19.76,0.016164767,3.402672341
79,6, True, True, sgd,250,0.005,0.01,1.60E+01,0.5, False,0.227758963,6.370000054,0.493736667,16.19,0.027532965,2.244534637
169,6, True, True, sgd,250,0.01,0.01,16,0, False,0.225677126,6.370000022,0.483319585,15.31,0.026960935,2.246071257
715,6, True, False, sgd,250,0.005,0.0001,64,0, False,0.212677747,6.266000083,2.228786145,37.74,0.033171554,30.09152209
827,8, True, False, sgd,250,0.01,0.01,6.40E+01,0, False,0.224832834,6.236000002,0.697277934,19.46,0.017691313,5.02596109
1385,8, False, False, sgd,250,0.005,0.01,32,0.5, False,0.186048897,5.996000076,1.898103299,43.76,0.034005211,2.110526129
726,4, True, True, sgd,250,0.005,0.01,64,0.5, False,0.195925327,5.756000049,0.664440934,19.32,0.018392033,5.443073769
728,8, True, True, sgd,250,0.005,0.01,64,0.5, False,0.196863447,5.720000027,0.67179289,19.42,0.016016011,4.059043461
503,8, True, False, sgd,250,0.01,0.01,32,0, False,0.198319414,5.532000029,0.589791551,17.57,0.020625469,2.453150718
710,8, True, True, sgd,250,0.005,0.01,6.40E+01,0, False,0.193040668,5.414000085,0.753100602,20.63,0.018955925,4.73906101
