Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
51,0.9,4,0.0,0.005,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
52,0.9,4,0.0001,0.005,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
53,0.9,4,0.0005,0.005,32,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
54,0.0,4,0.0,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
55,0.0,4,0.0001,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
56,0.0,4,0.0005,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
57,0.0,4,0.0,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
58,0.0,4,0.0001,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
59,0.0,4,0.0005,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
60,0.5,4,0.0,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
61,0.5,4,0.0001,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
62,0.5,4,0.0005,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
63,0.5,4,0.0,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
64,0.5,4,0.0001,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
65,0.5,4,0.0005,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
66,0.9,4,0.0,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
67,0.9,4,0.0001,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
68,0.9,4,0.0005,0.01,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
69,0.9,4,0.0,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
70,0.9,4,0.0001,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
71,0.9,4,0.0005,0.01,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
72,0.0,4,0.0,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
73,0.0,4,0.0001,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
74,0.0,4,0.0005,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
75,0.0,4,0.0,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
76,0.0,4,0.0001,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
77,0.0,4,0.0005,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
78,0.5,4,0.0,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
79,0.5,4,0.0001,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
80,0.5,4,0.0005,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
81,0.5,4,0.0,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
82,0.5,4,0.0001,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
83,0.5,4,0.0005,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
84,0.9,4,0.0,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
85,0.9,4,0.0001,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
86,0.9,4,0.0005,0.0075,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
87,0.9,4,0.0,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
