Epoch,Projection to eig-vec 0,Projection to eig-vec 1,Projection to eig-vec 2,Projection to eig-vec 3,Projection to eig-vec 4,Residual Norm
72,-0.003030203,0.002472247,-0.001150777,0.001529405,0.000381638,0.005150775
73,-0.003915477,0.001088167,-0.001967876,0.000702968,0.000158136,0.004997788
74,-0.002851929,0.002027278,-0.00252818,0.001012615,0.000318606,0.00509641
75,-0.004098558,0.001309743,-0.0019153,0.001273596,0.000181015,0.004681479
76,-0.003002379,0.002972168,-0.002315709,0.000987362,5.97E-05,0.004918432
77,-0.003806888,0.001715426,-0.001265572,0.001959702,0.000574768,0.00489638
78,-0.00324359,0.002120702,-0.002558132,0.001151737,-0.000500382,0.004454944
79,-0.003448744,0.001725662,-0.002184644,0.00128949,-0.000216199,0.004541979
80,-0.003338107,0.001833197,-0.002693323,0.001294897,-0.000369113,0.004441193
81,-0.003611823,0.002079332,-0.002173528,0.00167567,-5.16E-06,0.004411762
82,-0.003749598,0.001497036,-0.00210631,0.001458314,-0.000103774,0.004486783
83,-0.003287372,0.002890724,-0.001944,0.001075252,-0.000711552,0.004472373
84,-0.003449559,0.001641712,-0.002799395,0.001267706,-0.000778069,0.004263677
85,-0.004231195,0.002044741,-0.001142345,0.002134112,5.24E-05,0.004446797
86,-0.003651653,0.001842548,-0.002441507,0.0015462,3.65E-06,0.004432892
87,-0.003644728,0.001807363,-0.002415839,0.00164315,-0.000216936,0.004299478
88,-0.003429821,0.002457501,-0.002173338,0.001194953,-0.001201711,0.004135211
89,-0.003844101,0.001358162,-0.002689672,0.001962286,-0.000462512,0.004097166
90,-0.00367242,0.002191989,-0.00177109,0.001304062,-0.001070525,0.004135476
91,-0.003893687,0.001799492,-0.001785052,0.001968404,-0.000648661,0.004047127
92,-0.003525072,0.002261607,-0.002290638,0.001943681,-0.00055352,0.004068944
93,-0.003934624,0.001516995,-0.002723241,0.001681595,-0.000721272,0.003984021
94,-0.003360934,0.002710118,-0.002215887,0.001858153,-0.000580107,0.004159719
95,-0.00324852,0.00254381,-0.002589063,0.00138773,-0.001427074,0.004027821
96,-0.003843014,0.001698423,-0.002231675,0.002356573,-0.000601434,0.003926302
97,-0.003697841,0.002207053,-0.002202689,0.001922256,-0.000577761,0.004010867
98,-0.003924807,0.001868294,-0.002383462,0.00159202,-0.001346999,0.0037575
99,-0.003491904,0.002278397,-0.002643858,0.001873466,-0.001357652,0.00376663
100,-0.004141162,0.001284455,-0.002004868,0.002443583,-0.000746288,0.003910144
101,-0.003886521,0.002641655,-0.001882239,0.00196505,-0.000727884,0.003924336
102,-0.003668778,0.001771176,-0.002840495,0.001828639,-0.001397466,0.003746944
103,-0.003510696,0.002405015,-0.002403073,0.002041167,-0.001602717,0.003674424
104,-0.003865764,0.00209004,-0.002200595,0.001912266,-0.001026717,0.003778709
105,-0.00389591,0.002002466,-0.002024012,0.002182498,-0.00131238,0.0036602
106,-0.003996349,0.002184826,-0.002407138,0.002209843,-0.000961624,0.003639781
107,-0.00403586,0.002195796,-0.002505349,0.001674554,-0.001279426,0.003648466
108,-0.003941377,0.002011191,-0.002469622,0.002431946,-0.001232973,0.003537028
109,-0.003972112,0.002336758,-0.002603769,0.001940803,-0.001216576,0.003586819
110,-0.003907149,0.001813562,-0.002165903,0.00264882,-0.001128038,0.003647368
111,-0.003906864,0.002066938,-0.002484527,0.001902182,-0.001750861,0.003525982
112,-0.003761936,0.002476597,-0.00269399,0.002014088,-0.00140369,0.003582343
113,-0.004057515,0.002032225,-0.002712378,0.002393533,-0.001358472,0.003433837
114,-0.003667009,0.002453452,-0.001913846,0.002164515,-0.00169179,0.003658691
115,-0.004058578,0.001988967,-0.002932554,0.002134522,-0.001712616,0.003396229
116,-0.004189909,0.00190297,-0.002393014,0.002589111,-0.000902952,0.003583045
117,-0.003672137,0.002430849,-0.00233398,0.002182727,-0.001924017,0.003520977
118,-0.004175781,0.002150638,-0.002365619,0.001924733,-0.001949902,0.003399686
119,-0.004046407,0.002468519,-0.002462728,0.00240255,-0.001243719,0.003462041
120,-0.004172507,0.001879961,-0.00244692,0.002436134,-0.001364992,0.003439319
121,-0.003934515,0.002020889,-0.002800918,0.002286169,-0.001658032,0.003419621
122,-0.003897172,0.002635472,-0.002076214,0.002470707,-0.001719717,0.00346068
123,-0.004384455,0.001681736,-0.002576591,0.0024171,-0.001596578,0.003345566
124,-0.004008252,0.002499775,-0.002074134,0.001962844,-0.001703259,0.003525411
125,-0.004086345,0.002283719,-0.00255645,0.002405658,-0.001458281,0.003379466
126,-0.003883018,0.002582312,-0.002727242,0.002230957,-0.001653115,0.003418384
127,-0.004131346,0.001932851,-0.002727534,0.002514682,-0.001752748,0.003309174
128,-0.004277608,0.001931857,-0.002307194,0.002737104,-0.0015522,0.003337849
129,-0.004019012,0.002263859,-0.002437682,0.002212979,-0.002104435,0.003342093
130,-0.004290496,0.002071986,-0.002555569,0.002376418,-0.001462337,0.003338879
131,-0.004013574,0.00238236,-0.002666266,0.002426206,-0.001475694,0.003381827
132,-0.004115739,0.002023474,-0.002458887,0.002525536,-0.001916738,0.003298945
133,-0.004219432,0.001861658,-0.0024221,0.002642785,-0.00170844,0.003321429
134,-0.003899683,0.00264619,-0.002639869,0.002221618,-0.001776428,0.003397486
135,-0.00469402,0.001338241,-0.002584952,0.002401306,-0.001941451,0.003319978
136,-0.004202642,0.002409993,-0.002565227,0.002411029,-0.001802936,0.003252729
137,-0.003753793,0.002648611,-0.002399974,0.002689693,-0.001749507,0.003427882
138,-0.004681036,0.001754193,-0.002603316,0.002225149,-0.002111371,0.003210255
139,-0.0041934,0.002581703,-0.002350933,0.002501946,-0.001816288,0.003269622
140,-0.004134559,0.002333682,-0.002591945,0.002379012,-0.001968223,0.003257087
141,-0.004120912,0.002220409,-0.002557039,0.002728609,-0.001642322,0.003290773
142,-0.004412982,0.00208897,-0.002387663,0.002432474,-0.001976732,0.003212631
143,-0.003945693,0.002411331,-0.002857947,0.002599113,-0.001912833,0.003285221
144,-0.004415277,0.002055147,-0.002484311,0.002567333,-0.001977241,0.003183211
145,-0.004451941,0.002218125,-0.002466666,0.002397848,-0.001811432,0.003205239
146,-0.004139243,0.002279244,-0.002746482,0.002611986,-0.001825251,0.003236034
147,-0.004188818,0.002462849,-0.00281569,0.00241776,-0.001924601,0.003216289
148,-0.004593147,0.001909644,-0.002395454,0.002397378,-0.002123823,0.003187696
149,-0.004160387,0.002194792,-0.002736282,0.002795853,-0.001809195,0.003226398
150,-0.004491634,0.002176415,-0.002592797,0.00270815,-0.001930727,0.003126353
151,-0.004470065,0.002137109,-0.002647056,0.002306457,-0.002029256,0.003173459
152,-0.004264794,0.002450873,-0.002582207,0.002626086,-0.001898868,0.003185477
153,-0.004412403,0.002285689,-0.00271443,0.002493563,-0.002089752,0.003130272
154,-0.004376845,0.002371793,-0.002634026,0.002547883,-0.001999711,0.003143924
155,-0.004405585,0.002169137,-0.002716259,0.00259898,-0.002069532,0.00313211
156,-0.004337803,0.002490823,-0.002373279,0.002611353,-0.002096067,0.003170017
157,-0.004284555,0.002178808,-0.002904715,0.002599964,-0.001957644,0.003172458
158,-0.004630942,0.002236579,-0.002510816,0.002524734,-0.002041948,0.00310273
159,-0.004453094,0.002409063,-0.002612668,0.002622803,-0.002063027,0.003107669
160,-0.004498079,0.002198506,-0.002462558,0.002729307,-0.002011522,0.003127267
161,-0.004449276,0.00236923,-0.002715831,0.002598158,-0.002017047,0.003109108
162,-0.004608498,0.002092033,-0.002685373,0.002486512,-0.002076983,0.003107297
163,-0.004361319,0.002437783,-0.002636114,0.002614583,-0.002154691,0.003123026
164,-0.004492358,0.002461429,-0.002579825,0.002606227,-0.002048549,0.003102626
165,-0.004408602,0.002404752,-0.002531767,0.002727849,-0.002049995,0.003121988
166,-0.004554026,0.00217854,-0.00253429,0.002560926,-0.002168777,0.003106959
167,-0.00450155,0.002401389,-0.00296607,0.002445544,-0.002040562,0.003104087
168,-0.004649422,0.002068681,-0.002698855,0.002676873,-0.002096186,0.003077218
169,-0.004641064,0.00229782,-0.002632788,0.00269389,-0.001995188,0.003068431
170,-0.004471706,0.002526758,-0.002556445,0.00253142,-0.002202473,0.003106225
171,-0.004556634,0.002214836,-0.002693063,0.002704518,-0.002134541,0.0030742
172,-0.004637624,0.002262935,-0.002704613,0.002639507,-0.002046586,0.003064525
173,-0.004700281,0.002112802,-0.002751855,0.002718613,-0.002091978,0.00305425
174,-0.004581264,0.002418451,-0.002489564,0.002702827,-0.002089133,0.003081187
175,-0.004464505,0.002537845,-0.002725653,0.002584355,-0.002254834,0.003082924
176,-0.004647499,0.002207432,-0.002780523,0.002582605,-0.002146519,0.003059834
177,-0.004605144,0.002337004,-0.002622113,0.002747347,-0.002099515,0.003059405
178,-0.004719019,0.002226383,-0.00264064,0.002768982,-0.002007987,0.003051902
179,-0.004605915,0.002283338,-0.002863922,0.002671475,-0.002232652,0.003044146
180,-0.004732683,0.002414573,-0.002677005,0.002681682,-0.002020257,0.003037684
181,-0.004580291,0.002508423,-0.00258398,0.002640246,-0.002221116,0.00306291
182,-0.004600273,0.002370548,-0.002737503,0.002608229,-0.002205652,0.003052796
183,-0.004707801,0.002384105,-0.002750391,0.002659258,-0.002189609,0.003024853
184,-0.004664153,0.00237848,-0.002690038,0.002630044,-0.002186436,0.003041064
185,-0.004709638,0.002211441,-0.002722156,0.002786362,-0.002110587,0.003036638
186,-0.004650482,0.002401657,-0.002633737,0.002763256,-0.002129858,0.003041454
187,-0.004654917,0.002358845,-0.0028506,0.002629983,-0.00218894,0.00303509
188,-0.00471866,0.002277201,-0.002741471,0.002716634,-0.00211537,0.003031287
189,-0.004722547,0.002393359,-0.002636233,0.002748155,-0.002186793,0.003024111
190,-0.004780247,0.002265638,-0.002800299,0.002672353,-0.002164721,0.003017818
191,-0.00459134,0.002517764,-0.002699884,0.002708603,-0.002214254,0.003043623
192,-0.004699517,0.002403047,-0.002699909,0.002727261,-0.002165188,0.003025244
193,-0.004755512,0.002253065,-0.002863075,0.002652545,-0.002161045,0.003023074
194,-0.00470683,0.00241418,-0.002706079,0.00267309,-0.002248736,0.003022384
195,-0.004769081,0.002309177,-0.002768624,0.002751752,-0.002129114,0.003014592
196,-0.004731754,0.002470875,-0.002572675,0.002741843,-0.002263344,0.00302333
197,-0.004832777,0.00229988,-0.002836169,0.002708796,-0.002106719,0.003006974
198,-0.0046691,0.002407645,-0.002731658,0.002696212,-0.002233545,0.003027007
199,-0.004793696,0.002396993,-0.002707312,0.00270702,-0.002228039,0.003005801
200,-0.004816254,0.00228017,-0.002812639,0.002725689,-0.002106257,0.003010756
